,Header,Title,Timestamp,search_string,Search Engine,News link
47,The Economic Times,Spotify to start in-app purchases on iPhone in Europe after DMA takes effect - ET BrandEquity,2024-01-25 11:40:54.943281,AppleLaw Suits,YAHOO,https://brandequity.economictimes.indiatimes.com/news/business-of-brands/spotify-to-start-in-app-purchases-on-iphone-in-europe-after-dma-takes-effect/107131757
48,NBC Sports Philadelphia,Flyers address Carter Hart's status amid 2018 sexual assault inquiry,2024-01-25 04:40:54.943281,AppleLaw Suits,YAHOO,https://www.nbcsportsphiladelphia.com/nhl/philadelphia-flyers/flyers-general-manager-danny-briere-talks-carter-hart-situation-hockey-canada-reports-more/560764/?partner=yahoo
49,Business Standard India,OPPO signs cross-licence agreement with Nokia to resolve patent dispute,2024-01-25 11:40:54.943281,AppleLaw Suits,YAHOO,https://www.business-standard.com/technology/tech-news/oppo-signs-cross-licence-agreement-with-nokia-to-resolve-patent-dispute-124012500253_1.html
50,The Economic Times,Apple bids to throw out $1 billion UK lawsuit over app store fees,2024-01-23 19:40:54.943281,AppleLaw Suits,YAHOO,https://economictimes.indiatimes.com/tech/technology/apple-bids-to-throw-out-1-billion-uk-lawsuit-over-app-store-fees/articleshow/107090351.cms
51,Daiji World,Apple to pay iPhone 7 users who faced 'loop disease' audio issues,2024-01-19 19:40:54.943281,AppleLaw Suits,YAHOO,https://daijiworld.com/news/newsDisplay?newsID=1159885
52,The Economic Times,"Explained: Why are Apple, Amazon, Google and Meta facing antitrust lawsuits and huge fines?",2024-01-24 19:40:54.957325,AppleLaw Suits,YAHOO,https://economictimes.indiatimes.com/tech/technology/explained-why-are-apple-amazon-google-and-meta-facing-antitrust-lawsuits-and-huge-fines/articleshow/107102982.cms
53,The Times of India,Apple scores early victory against Pegasus spyware maker: Key details - Times of India,2024-01-24 19:40:54.957325,AppleLaw Suits,YAHOO,https://timesofindia.indiatimes.com/gadgets-news/apple-scores-early-victory-against-pegasus-spyware-maker-key-details/articleshow/107116720.cms
54,Livemint,Spotify's victory: Audiobooks and in-app subscriptions to roll out in March,2024-01-25 11:40:54.957325,AppleLaw Suits,YAHOO,https://www.livemint.com/technology/tech-news/spotify-takes-on-apple-audiobooks-and-subscriptions-available-in-app-bypassing-30-fee-11706161723823.html
55,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:54.957325,AppleLaw Suits,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
56,Mashable India,"Apple's Decision To Drop Blood Oxygen Feature Raises Questions About Sleep Apnea Detection, Warns...",2024-01-22 19:40:54.957325,AppleLaw Suits,YAHOO,https://in.mashable.com/tech/68011/apples-decision-to-drop-blood-oxygen-feature-raises-questions-about-sleep-apnea-detection-warns-mark
57,The Economic Times,Spotify to start in-app purchases on iPhone in Europe after DMA takes effect - ET BrandEquity,2024-01-25 11:40:54.957325,AppleLaw Suits,YAHOO,https://brandequity.economictimes.indiatimes.com/news/business-of-brands/spotify-to-start-in-app-purchases-on-iphone-in-europe-after-dma-takes-effect/107131757
58,NBC Sports Philadelphia,Flyers address Carter Hart's status amid 2018 sexual assault inquiry,2024-01-25 04:40:54.957325,AppleLaw Suits,YAHOO,https://www.nbcsportsphiladelphia.com/nhl/philadelphia-flyers/flyers-general-manager-danny-briere-talks-carter-hart-situation-hockey-canada-reports-more/560764/?partner=yahoo
59,Business Standard India,OPPO signs cross-licence agreement with Nokia to resolve patent dispute,2024-01-25 11:40:54.957325,AppleLaw Suits,YAHOO,https://www.business-standard.com/technology/tech-news/oppo-signs-cross-licence-agreement-with-nokia-to-resolve-patent-dispute-124012500253_1.html
60,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:59.632782,GoogleStock Price,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
61,Gadgets 360,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",2024-01-25 17:40:59.632782,GoogleStock Price,YAHOO,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306
62,The Economic Times,Stock Radar: Down 20% from highs! This smallcap stock is showing signs of bottoming out; time to...,2024-01-25 09:40:59.648403,GoogleStock Price,YAHOO,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-down-20-from-highs-this-smallcap-stock-is-showing-signs-of-bottoming-out-time-to-buy/articleshow/107110896.cms
63,Business Standard India,Analysts downgrade Zee Entertainment stock after Sony deal falls through,2024-01-22 19:40:59.648403,GoogleStock Price,YAHOO,https://www.business-standard.com/companies/news/analysts-downgrade-zee-entertainment-stock-after-sony-deal-falls-through-124012200791_1.html
64,Livemint,Explore vivid visual experience with best QLED TVs in India: Top 9 picks,2024-01-25 17:40:59.648403,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/explore-vivid-visual-experience-with-best-qled-tvs-in-india-top-9-picks-11706175933708.html
65,Livemint,"New rules on pension fund withdrawal, bulk emails to take effect on February 1",2024-01-22 19:40:59.664023,GoogleStock Price,YAHOO,https://www.livemint.com/news/india/from-pension-fund-withdrawal-norms-to-bulk-email-guidelines-these-rules-will-change-from-feb-1-details-here-11705921415508.html
66,Livemint,Satya Nadella compares Rabbit R1 AI assistant to original iPhone,2024-01-20 19:40:59.664023,GoogleStock Price,YAHOO,https://www.livemint.com/technology/tech-news/microsoft-ceo-satya-nadella-praises-rabbit-r1-ai-assistant-steve-jobs-iphone-launch-one-of-the-most-impressive-11705722271026.html
67,Livemint,Amazon Republic Day Sale: Grab wireless security cameras with up to 64% off,2024-01-19 19:40:59.664023,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/amazon-republic-day-sale-grab-wireless-security-cameras-with-up-to-64-off-11705666273941.html
68,Business Insider India,The surprising reason millennial parents are miserable,2024-01-23 19:40:59.679645,GoogleStock Price,YAHOO,https://www.businessinsider.in/videos/news/the-surprising-reason-millennial-parents-are-miserable/videoshow/107000377.cms
69,Livemint,Elon Musk dismisses reports about AI company's $500 mn funding as ‘fake news’,2024-01-21 19:40:59.683162,GoogleStock Price,YAHOO,https://www.livemint.com/companies/people/elon-musk-dismisses-reports-about-ai-companys-funding-as-fake-news-11705804921977.html
70,Livemint,"AI race propels Microsoft, Meta, and Google to new highs. Here's why",2024-01-25 11:40:59.683162,GoogleStock Price,YAHOO,https://www.livemint.com/companies/news/ai-race-propels-silicon-valley-tech-firms-microsoft-meta-and-google-to-new-highs-heres-why-11706157543757.html
71,Gadgets 360,"AI Powers Microsoft to $3 Trillion Market Value, Second to Apple",2024-01-25 17:40:59.695673,GoogleStock Price,YAHOO,https://www.gadgets360.com/internet/news/microsoft-usd-3-trillion-market-value-ai-openai-chatgpt-apple-4930306
72,The Economic Times,Stock Radar: Down 20% from highs! This smallcap stock is showing signs of bottoming out; time to...,2024-01-25 09:40:59.695673,GoogleStock Price,YAHOO,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-down-20-from-highs-this-smallcap-stock-is-showing-signs-of-bottoming-out-time-to-buy/articleshow/107110896.cms
73,Business Standard India,Analysts downgrade Zee Entertainment stock after Sony deal falls through,2024-01-22 19:40:59.695673,GoogleStock Price,YAHOO,https://www.business-standard.com/companies/news/analysts-downgrade-zee-entertainment-stock-after-sony-deal-falls-through-124012200791_1.html
74,Livemint,Explore vivid visual experience with best QLED TVs in India: Top 9 picks,2024-01-25 17:40:59.695673,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/explore-vivid-visual-experience-with-best-qled-tvs-in-india-top-9-picks-11706175933708.html
75,Livemint,"New rules on pension fund withdrawal, bulk emails to take effect on February 1",2024-01-22 19:40:59.711303,GoogleStock Price,YAHOO,https://www.livemint.com/news/india/from-pension-fund-withdrawal-norms-to-bulk-email-guidelines-these-rules-will-change-from-feb-1-details-here-11705921415508.html
76,Livemint,Satya Nadella compares Rabbit R1 AI assistant to original iPhone,2024-01-20 19:40:59.711303,GoogleStock Price,YAHOO,https://www.livemint.com/technology/tech-news/microsoft-ceo-satya-nadella-praises-rabbit-r1-ai-assistant-steve-jobs-iphone-launch-one-of-the-most-impressive-11705722271026.html
77,Livemint,Amazon Republic Day Sale: Grab wireless security cameras with up to 64% off,2024-01-19 19:40:59.711303,GoogleStock Price,YAHOO,https://www.livemint.com/technology/gadgets/amazon-republic-day-sale-grab-wireless-security-cameras-with-up-to-64-off-11705666273941.html
78,Business Insider India,The surprising reason millennial parents are miserable,2024-01-23 19:40:59.711303,GoogleStock Price,YAHOO,https://www.businessinsider.in/videos/news/the-surprising-reason-millennial-parents-are-miserable/videoshow/107000377.cms
79,Livemint,Elon Musk dismisses reports about AI company's $500 mn funding as ‘fake news’,2024-01-21 19:40:59.711303,GoogleStock Price,YAHOO,https://www.livemint.com/companies/people/elon-musk-dismisses-reports-about-ai-companys-funding-as-fake-news-11705804921977.html
